"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phi [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(dB(GainTotal)) []"""
-2,0.5,1.5,0,9,8,5,0.6,-13.5329015290228
-2,0.5,1.5,0,9,8,5,0.7,-11.4796696909153
-2,0.5,1.5,0,9,8,5,0.8,-9.68783982412969
-2,0.5,1.5,0,9,8,5,0.9,-8.09860103423292
-2,0.5,1.5,0,9,8,5,1,-6.673868434663
-2,0.5,1.5,0,9,8,5,1.1,-5.38875195663966
-2,0.5,1.5,0,9,8,5,1.2,-4.22715399541313
-2,0.5,1.5,0,9,8,5,1.3,-3.1794013243735
-2,0.5,1.5,0,9,8,5,1.4,-2.24027774780456
-2,0.5,1.5,0,9,8,5,1.5,-1.40733704811023
-2,0.5,1.5,0,9,8,5,1.6,-0.679133586055087
-2,0.5,1.5,0,9,8,5,1.7,-0.0538979092171274
-2,0.5,1.5,0,9,8,5,1.8,0.471082694462591
-2,0.5,1.5,0,9,8,5,1.9,0.900435006599564
-2,0.5,1.5,0,9,8,5,2,1.24085875629776
-2,0.5,1.5,0,9,8,5,2.1,1.50094018520417
-2,0.5,1.5,0,9,8,5,2.2,1.6907786387376
-2,0.5,1.5,0,9,8,5,2.3,1.82111686095008
-2,0.5,1.5,0,9,8,5,2.4,1.90294557479742
-2,0.5,1.5,0,9,8,5,2.5,1.94693138949913
-2,0.5,1.5,0,9,8,5,2.6,1.96302551221307
-2,0.5,1.5,0,9,8,5,2.7,1.96022963824493
-2,0.5,1.5,0,9,8,5,2.8,1.94646508385384
-2,0.5,1.5,0,9,8,5,2.9,1.9285087916872
-2,0.5,1.5,0,9,8,5,3,1.91196295294075
-2,0.5,1.5,0,9,8,5,3.1,1.90123748565501
-2,0.5,1.5,0,9,8,5,3.2,1.90000885210796
-2,0.5,1.5,0,9,8,5,3.3,1.91024350338109
-2,0.5,1.5,0,9,8,5,3.4,1.93275420783548
-2,0.5,1.5,0,9,8,5,3.5,1.96737054781637
-2,0.5,1.5,0,9,8,5,3.6,2.01293100031398
-2,0.5,1.5,0,9,8,5,3.7,2.06742366796637
-2,0.5,1.5,0,9,8,5,3.8,2.12814929264023
-2,0.5,1.5,0,9,8,5,3.9,2.19202153598748
-2,0.5,1.5,0,9,8,5,4,2.25989653126088
-2,0.5,1.5,0,9,8,5,4.1,2.3246079285179
-2,0.5,1.5,0,9,8,5,4.2,2.38518748038332
-2,0.5,1.5,0,9,8,5,4.3,2.44153535489748
-2,0.5,1.5,0,9,8,5,4.4,2.49437760922232
