"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phi [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(dB(GainTotal)) []"""
-2,0.5,1.5,0,9,8,5,0.6,-28.4961655522607
-2,0.5,1.5,0,9,8,5,0.7,-26.7210711026832
-2,0.5,1.5,0,9,8,5,0.8,-25.2884837701372
-2,0.5,1.5,0,9,8,5,0.9,-23.8400105882965
-2,0.5,1.5,0,9,8,5,1,-22.631888851164
-2,0.5,1.5,0,9,8,5,1.1,-21.5316226818206
-2,0.5,1.5,0,9,8,5,1.2,-20.3945552850955
-2,0.5,1.5,0,9,8,5,1.3,-19.526079087072
-2,0.5,1.5,0,9,8,5,1.4,-18.5707124710632
-2,0.5,1.5,0,9,8,5,1.5,-17.8411587705901
-2,0.5,1.5,0,9,8,5,1.6,-17.2548894878097
-2,0.5,1.5,0,9,8,5,1.7,-16.7618434215709
-2,0.5,1.5,0,9,8,5,1.8,-16.5150020009629
-2,0.5,1.5,0,9,8,5,1.9,-16.1164835125417
-2,0.5,1.5,0,9,8,5,2,-15.9047608281097
-2,0.5,1.5,0,9,8,5,2.1,-15.7453092233913
-2,0.5,1.5,0,9,8,5,2.2,-15.5957082294493
-2,0.5,1.5,0,9,8,5,2.3,-15.6261349261432
-2,0.5,1.5,0,9,8,5,2.4,-15.5747849157604
-2,0.5,1.5,0,9,8,5,2.5,-15.6622949068317
-2,0.5,1.5,0,9,8,5,2.6,-15.7160313924211
-2,0.5,1.5,0,9,8,5,2.7,-15.7496893620554
-2,0.5,1.5,0,9,8,5,2.8,-15.7936165547619
-2,0.5,1.5,0,9,8,5,2.9,-15.8462110730266
-2,0.5,1.5,0,9,8,5,3,-15.8381240223468
-2,0.5,1.5,0,9,8,5,3.1,-15.8499779424079
-2,0.5,1.5,0,9,8,5,3.2,-15.7507861507668
-2,0.5,1.5,0,9,8,5,3.3,-15.6333359137118
-2,0.5,1.5,0,9,8,5,3.4,-15.4364967243296
-2,0.5,1.5,0,9,8,5,3.5,-15.1741627591773
-2,0.5,1.5,0,9,8,5,3.6,-14.9298596744765
-2,0.5,1.5,0,9,8,5,3.7,-14.6255466958555
-2,0.5,1.5,0,9,8,5,3.8,-14.3285801191143
-2,0.5,1.5,0,9,8,5,3.9,-14.0027791430379
-2,0.5,1.5,0,9,8,5,4,-13.6483315047966
-2,0.5,1.5,0,9,8,5,4.1,-13.3035593084941
-2,0.5,1.5,0,9,8,5,4.2,-12.9681744935989
-2,0.5,1.5,0,9,8,5,4.3,-12.6566037133596
-2,0.5,1.5,0,9,8,5,4.4,-12.3687838873688
-2,0.5,1.5,0,9,8,5,4.5,-12.0962584956383
-2,0.5,1.5,0,9,8,5,4.6,-11.8559748987229
-2,0.5,1.5,0,9,8,5,4.7,-11.6396222496675
-2,0.5,1.5,0,9,8,5,4.8,-11.4348500284429
-2,0.5,1.5,0,9,8,5,4.9,-11.2552708229859
-2,0.5,1.5,0,9,8,5,5,-11.100769967683
-2,0.5,1.5,0,9,8,5,5.1,-10.9614609617274
-2,0.5,1.5,0,9,8,5,5.2,-10.8410152078091
-2,0.5,1.5,0,9,8,5,5.3,-10.733980973623
-2,0.5,1.5,0,9,8,5,5.4,-10.6362005976624
-2,0.5,1.5,0,9,8,5,5.5,-10.5491425960063
-2,0.5,1.5,0,9,8,5,5.6,-10.4562435462737
-2,0.5,1.5,0,9,8,5,5.7,-10.3657168234839
-2,0.5,1.5,0,9,8,5,5.8,-10.2761133384102
-2,0.5,1.5,0,9,8,5,5.9,-10.1893433393464
-2,0.5,1.5,0,9,8,5,6,-10.0973828413462
-2,0.5,1.5,0,9,8,5,6.1,-10.0125078852633
-2,0.5,1.5,0,9,8,5,6.2,-9.93300952178634
-2,0.5,1.5,0,9,8,5,6.3,-9.85310977777949
-2,0.5,1.5,0,9,8,5,6.4,-9.78474028761698
-2,0.5,1.5,0,9,8,5,6.5,-9.70949694851021
-2,0.5,1.5,0,9,8,5,6.6,-9.65666166582588
-2,0.5,1.5,0,9,8,5,6.7,-9.60570638985041
-2,0.5,1.5,0,9,8,5,6.8,-9.55406326023454
-2,0.5,1.5,0,9,8,5,6.9,-9.51555631192365
-2,0.5,1.5,0,9,8,5,7,-9.48764268109003
