"df [mm]","ex1 [mm]","ex2 [mm]","Phi [deg]","XPF1 [mm]","XPF2 [mm]","YG [mm]","Freq [GHz]","max(dB(GainTotal)) []"
-2,0.5,1.5,0,9,8,5,0.6,-22.4369197125764
-2,0.5,1.5,0,9,8,5,0.7,-20.5062758607135
-2,0.5,1.5,0,9,8,5,0.8,-18.9395460341719
-2,0.5,1.5,0,9,8,5,0.9,-17.409821222177
-2,0.5,1.5,0,9,8,5,1,-16.1407708315873
-2,0.5,1.5,0,9,8,5,1.1,-15.020099887607
-2,0.5,1.5,0,9,8,5,1.2,-13.8884870406008
-2,0.5,1.5,0,9,8,5,1.3,-13.0533866180577
-2,0.5,1.5,0,9,8,5,1.4,-12.1474077135901
-2,0.5,1.5,0,9,8,5,1.5,-11.4760229003913
-2,0.5,1.5,0,9,8,5,1.6,-10.9775682393078
-2,0.5,1.5,0,9,8,5,1.7,-10.5814997931385
-2,0.5,1.5,0,9,8,5,1.8,-10.4667502290478
-2,0.5,1.5,0,9,8,5,1.9,-10.1943006865968
-2,0.5,1.5,0,9,8,5,2,-10.1223235369197
-2,0.5,1.5,0,9,8,5,2.1,-10.1267175160199
-2,0.5,1.5,0,9,8,5,2.2,-10.1488025492034
-2,0.5,1.5,0,9,8,5,2.3,-10.370449063352
-2,0.5,1.5,0,9,8,5,2.4,-10.5158914671494
-2,0.5,1.5,0,9,8,5,2.5,-10.7994495218048
-2,0.5,1.5,0,9,8,5,2.6,-11.0461491883837
-2,0.5,1.5,0,9,8,5,2.7,-11.2557397397403
-2,0.5,1.5,0,9,8,5,2.8,-11.4958208433675
-2,0.5,1.5,0,9,8,5,2.9,-11.72841325266
-2,0.5,1.5,0,9,8,5,3,-11.9010960177192
-2,0.5,1.5,0,9,8,5,3.1,-12.1106657199647
-2,0.5,1.5,0,9,8,5,3.2,-12.1837869512321
-2,0.5,1.5,0,9,8,5,3.3,-12.259135970195
-2,0.5,1.5,0,9,8,5,3.4,-12.2548472298734
-2,0.5,1.5,0,9,8,5,3.5,-12.1728468296558
-2,0.5,1.5,0,9,8,5,3.6,-12.1319399720508
-2,0.5,1.5,0,9,8,5,3.7,-12.0252001744915
-2,0.5,1.5,0,9,8,5,3.8,-11.932121202267
-2,0.5,1.5,0,9,8,5,3.9,-11.801126355253
-2,0.5,1.5,0,9,8,5,4,-11.6524107904817
-2,0.5,1.5,0,9,8,5,4.1,-11.5290150893973
-2,0.5,1.5,0,9,8,5,4.2,-11.4335810853684
-2,0.5,1.5,0,9,8,5,4.3,-11.3676191790124
-2,0.5,1.5,0,9,8,5,4.4,-11.3308690449093
-2,0.5,1.5,0,9,8,5,4.5,-11.3122561065189
-2,0.5,1.5,0,9,8,5,4.6,-11.3104298607431
-2,0.5,1.5,0,9,8,5,4.7,-11.3346477250199
-2,0.5,1.5,0,9,8,5,4.8,-11.384241910762
-2,0.5,1.5,0,9,8,5,4.9,-11.4625276391345
-2,0.5,1.5,0,9,8,5,5,-11.5672301040961
-2,0.5,1.5,0,9,8,5,5.1,-11.6843172209675
