"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
-2,0.5,1.5,0,9,8,5,0.6,7.61332207232675
-2,0.5,1.5,0,9,8,5,0.7,7.3567989055636
-2,0.5,1.5,0,9,8,5,0.8,7.00067860014079
-2,0.5,1.5,0,9,8,5,0.9,6.63287211667263
-2,0.5,1.5,0,9,8,5,1,6.30117153517344
-2,0.5,1.5,0,9,8,5,1.1,6.01564765605026
-2,0.5,1.5,0,9,8,5,1.2,5.78442905282905
-2,0.5,1.5,0,9,8,5,1.3,5.61082401056227
-2,0.5,1.5,0,9,8,5,1.4,5.48346695243751
-2,0.5,1.5,0,9,8,5,1.5,5.40453699648791
-2,0.5,1.5,0,9,8,5,1.6,5.36222193762818
-2,0.5,1.5,0,9,8,5,1.7,5.34897036525937
-2,0.5,1.5,0,9,8,5,1.8,5.36063037974543
-2,0.5,1.5,0,9,8,5,1.9,5.38722842744248
-2,0.5,1.5,0,9,8,5,2,5.43092753756451
-2,0.5,1.5,0,9,8,5,2.1,5.4826846293815
-2,0.5,1.5,0,9,8,5,2.2,5.53822951854346
-2,0.5,1.5,0,9,8,5,2.3,5.59899257043107
-2,0.5,1.5,0,9,8,5,2.4,5.65940234712326
-2,0.5,1.5,0,9,8,5,2.5,5.72062026371227
-2,0.5,1.5,0,9,8,5,2.6,5.78018538652269
-2,0.5,1.5,0,9,8,5,2.7,5.83842929480517
-2,0.5,1.5,0,9,8,5,2.8,5.89414068627082
-2,0.5,1.5,0,9,8,5,2.9,5.94811566204844
-2,0.5,1.5,0,9,8,5,3,6.00097445535143
-2,0.5,1.5,0,9,8,5,3.1,6.05187728351238
-2,0.5,1.5,0,9,8,5,3.2,6.1019336623207
-2,0.5,1.5,0,9,8,5,3.3,6.15106453404506
-2,0.5,1.5,0,9,8,5,3.4,6.19938307644943
-2,0.5,1.5,0,9,8,5,3.5,6.24757103406274
-2,0.5,1.5,0,9,8,5,3.6,6.29449151943157
-2,0.5,1.5,0,9,8,5,3.7,6.34113215246149
-2,0.5,1.5,0,9,8,5,3.8,6.38689369739681
-2,0.5,1.5,0,9,8,5,3.9,6.4316323903842
-2,0.5,1.5,0,9,8,5,4,6.47556073157184
-2,0.5,1.5,0,9,8,5,4.1,6.51875991344565
-2,0.5,1.5,0,9,8,5,4.2,6.56095482705722
