"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
-2,0.5,1.5,0,9,8,5,0.6,1.42180236849376
-2,0.5,1.5,0,9,8,5,0.7,1.48958882770866
-2,0.5,1.5,0,9,8,5,0.8,1.61815131264299
-2,0.5,1.5,0,9,8,5,0.9,1.81233220535597
-2,0.5,1.5,0,9,8,5,1,2.07561561457857
-2,0.5,1.5,0,9,8,5,1.1,2.35582067592547
-2,0.5,1.5,0,9,8,5,1.2,2.65776890153518
-2,0.5,1.5,0,9,8,5,1.3,2.99416683206507
-2,0.5,1.5,0,9,8,5,1.4,3.34259560714339
-2,0.5,1.5,0,9,8,5,1.5,3.72541642039148
-2,0.5,1.5,0,9,8,5,1.6,4.12211559330352
-2,0.5,1.5,0,9,8,5,1.7,4.53321525108485
-2,0.5,1.5,0,9,8,5,1.8,4.95806918804906
-2,0.5,1.5,0,9,8,5,1.9,5.38522102860404
-2,0.5,1.5,0,9,8,5,2,5.83051060101109
-2,0.5,1.5,0,9,8,5,2.1,6.27982085280464
-2,0.5,1.5,0,9,8,5,2.2,6.73362846385813
-2,0.5,1.5,0,9,8,5,2.3,7.19580995736548
-2,0.5,1.5,0,9,8,5,2.4,7.66003671831327
-2,0.5,1.5,0,9,8,5,2.5,8.13228822062374
-2,0.5,1.5,0,9,8,5,2.6,8.60802361871752
-2,0.5,1.5,0,9,8,5,2.7,9.09181239724271
-2,0.5,1.5,0,9,8,5,2.8,9.58156607943282
-2,0.5,1.5,0,9,8,5,2.9,10.0788014466684
-2,0.5,1.5,0,9,8,5,3,10.5861853375537
-2,0.5,1.5,0,9,8,5,3.1,11.1020365543266
-2,0.5,1.5,0,9,8,5,3.2,11.6282008035467
-2,0.5,1.5,0,9,8,5,3.3,12.1648622155341
-2,0.5,1.5,0,9,8,5,3.4,12.7106096649189
-2,0.5,1.5,0,9,8,5,3.5,13.2669637185162
-2,0.5,1.5,0,9,8,5,3.6,13.8314474451039
-2,0.5,1.5,0,9,8,5,3.7,14.4049244499437
-2,0.5,1.5,0,9,8,5,3.8,14.9853322050212
-2,0.5,1.5,0,9,8,5,3.9,15.5717664695763
-2,0.5,1.5,0,9,8,5,4,16.1635210424373
-2,0.5,1.5,0,9,8,5,4.1,16.7585764396324
-2,0.5,1.5,0,9,8,5,4.2,17.3552260644812
-2,0.5,1.5,0,9,8,5,4.3,17.951050758833
-2,0.5,1.5,0,9,8,5,4.4,18.5433300018762
-2,0.5,1.5,0,9,8,5,4.5,19.12957758056
-2,0.5,1.5,0,9,8,5,4.6,19.7061588127744
-2,0.5,1.5,0,9,8,5,4.7,20.270408955143
-2,0.5,1.5,0,9,8,5,4.8,20.819250187249
-2,0.5,1.5,0,9,8,5,4.9,21.3485145870285
-2,0.5,1.5,0,9,8,5,5,21.8548075979109
-2,0.5,1.5,0,9,8,5,5.1,22.3342456827055
-2,0.5,1.5,0,9,8,5,5.2,22.7834255882475
-2,0.5,1.5,0,9,8,5,5.3,23.1991670179914
-2,0.5,1.5,0,9,8,5,5.4,23.5781899391522
-2,0.5,1.5,0,9,8,5,5.5,23.9181629443651
-2,0.5,1.5,0,9,8,5,5.6,24.2167376185163
-2,0.5,1.5,0,9,8,5,5.7,24.4726424217946
-2,0.5,1.5,0,9,8,5,5.8,24.6852840656212
-2,0.5,1.5,0,9,8,5,5.9,24.8541432979894
-2,0.5,1.5,0,9,8,5,6,24.9795215500956
-2,0.5,1.5,0,9,8,5,6.1,25.0625475098266
-2,0.5,1.5,0,9,8,5,6.2,25.1047287884065
-2,0.5,1.5,0,9,8,5,6.3,25.1083501630107
-2,0.5,1.5,0,9,8,5,6.4,25.076005371175
-2,0.5,1.5,0,9,8,5,6.5,25.0109370956695
-2,0.5,1.5,0,9,8,5,6.6,24.9168926987965
-2,0.5,1.5,0,9,8,5,6.7,24.7975903436988
-2,0.5,1.5,0,9,8,5,6.8,24.6569225079613
-2,0.5,1.5,0,9,8,5,6.9,24.4990677051133
-2,0.5,1.5,0,9,8,5,7,24.3282856120564
-2,0.5,1.5,0,9,8,5,7.1,24.1483503954301
-2,0.5,1.5,0,9,8,5,7.2,23.9632091216828
-2,0.5,1.5,0,9,8,5,7.3,23.7764452625148
-2,0.5,1.5,0,9,8,5,7.4,23.5914608635459
-2,0.5,1.5,0,9,8,5,7.5,23.4115574224219
-2,0.5,1.5,0,9,8,5,7.6,23.2395601252567
-2,0.5,1.5,0,9,8,5,7.7,23.0780363189431
-2,0.5,1.5,0,9,8,5,7.8,22.9293952265514
-2,0.5,1.5,0,9,8,5,7.9,22.7955048837979
-2,0.5,1.5,0,9,8,5,8,22.6783529377571
-2,0.5,1.5,0,9,8,5,8.1,22.5793729136235
-2,0.5,1.5,0,9,8,5,8.2,22.4999032722836
-2,0.5,1.5,0,9,8,5,8.3,22.4409993993403
-2,0.5,1.5,0,9,8,5,8.4,22.4039495630426
-2,0.5,1.5,0,9,8,5,8.5,22.3895108177517
-2,0.5,1.5,0,9,8,5,8.6,22.3983669110616
-2,0.5,1.5,0,9,8,5,8.7,22.4313302574546
-2,0.5,1.5,0,9,8,5,8.8,22.4886826037626
-2,0.5,1.5,0,9,8,5,8.9,22.5705621583147
-2,0.5,1.5,0,9,8,5,9,22.6771120911519
-2,0.5,1.5,0,9,8,5,9.1,22.8085291196087
-2,0.5,1.5,0,9,8,5,9.2,22.9648024318705
-2,0.5,1.5,0,9,8,5,9.3,23.1459731998484
-2,0.5,1.5,0,9,8,5,9.4,23.3516404813136
-2,0.5,1.5,0,9,8,5,9.5,23.5813184809977
-2,0.5,1.5,0,9,8,5,9.6,23.8344549675672
-2,0.5,1.5,0,9,8,5,9.7,24.1102249538634
-2,0.5,1.5,0,9,8,5,9.8,24.4079870328103
-2,0.5,1.5,0,9,8,5,9.9,24.7269832347641
-2,0.5,1.5,0,9,8,5,10,25.0663943320575
-2,0.5,1.5,0,9,8,5,10.1,25.4255157375703
-2,0.5,1.5,0,9,8,5,10.2,25.8031678362521
-2,0.5,1.5,0,9,8,5,10.3,26.1982001057061
-2,0.5,1.5,0,9,8,5,10.4,26.6093511715134
-2,0.5,1.5,0,9,8,5,10.5,27.0354452956223
-2,0.5,1.5,0,9,8,5,10.6,27.4750554543532
2,0.5,1.5,0,9,8,5,0.6,1.93044700239039
2,0.5,1.5,0,9,8,5,0.7,1.90384849369728
2,0.5,1.5,0,9,8,5,0.8,1.9445989115179
2,0.5,1.5,0,9,8,5,0.9,2.05894917484331
2,0.5,1.5,0,9,8,5,1,2.25337254110775
2,0.5,1.5,0,9,8,5,1.1,2.46643440507293
2,0.5,1.5,0,9,8,5,1.2,2.7078182142392
2,0.5,1.5,0,9,8,5,1.3,2.98287508393466
2,0.5,1.5,0,9,8,5,1.4,3.27125633818882
2,0.5,1.5,0,9,8,5,1.5,3.59313921516817
2,0.5,1.5,0,9,8,5,1.6,3.92747832388104
2,0.5,1.5,0,9,8,5,1.7,4.27456480931207
2,0.5,1.5,0,9,8,5,1.8,4.63355849615958
2,0.5,1.5,0,9,8,5,1.9,4.99265987574299
2,0.5,1.5,0,9,8,5,2,5.36582089358173
2,0.5,1.5,0,9,8,5,2.1,5.73852071286824
2,0.5,1.5,0,9,8,5,2.2,6.10962533203818
2,0.5,1.5,0,9,8,5,2.3,6.48467797182065
2,0.5,1.5,0,9,8,5,2.4,6.85579097577666
2,0.5,1.5,0,9,8,5,2.5,7.22865544975742
2,0.5,1.5,0,9,8,5,2.6,7.59844168579866
2,0.5,1.5,0,9,8,5,2.7,7.96874861893563
2,0.5,1.5,0,9,8,5,2.8,8.33751206186591
2,0.5,1.5,0,9,8,5,2.9,8.70591275154101
2,0.5,1.5,0,9,8,5,3,9.07561556746082
2,0.5,1.5,0,9,8,5,3.1,9.44553429825127
2,0.5,1.5,0,9,8,5,3.2,9.81691723196136
2,0.5,1.5,0,9,8,5,3.3,10.1905013151001
2,0.5,1.5,0,9,8,5,3.4,10.5652807997604
2,0.5,1.5,0,9,8,5,3.5,10.9427625299642
2,0.5,1.5,0,9,8,5,3.6,11.3216307036815
2,0.5,1.5,0,9,8,5,3.7,11.7029439607913
2,0.5,1.5,0,9,8,5,3.8,12.0858738470231
2,0.5,1.5,0,9,8,5,3.9,12.470286304171
2,0.5,1.5,0,9,8,5,4,12.8568417676833
2,0.5,1.5,0,9,8,5,4.1,13.2453646882552
2,0.5,1.5,0,9,8,5,4.2,13.635423429986
2,0.5,1.5,0,9,8,5,4.3,14.0269657145883
2,0.5,1.5,0,9,8,5,4.4,14.419679238027
2,0.5,1.5,0,9,8,5,4.5,14.8131627814628
2,0.5,1.5,0,9,8,5,4.6,15.2069341820176
2,0.5,1.5,0,9,8,5,4.7,15.6008168234531
2,0.5,1.5,0,9,8,5,4.8,15.9946258459352
2,0.5,1.5,0,9,8,5,4.9,16.3880011707753
2,0.5,1.5,0,9,8,5,5,16.7802903206389
2,0.5,1.5,0,9,8,5,5.1,17.1710757878685
2,0.5,1.5,0,9,8,5,5.2,17.5598313203129
2,0.5,1.5,0,9,8,5,5.3,17.946119090863
2,0.5,1.5,0,9,8,5,5.4,18.3296237729959
2,0.5,1.5,0,9,8,5,5.5,18.7096798375183
2,0.5,1.5,0,9,8,5,5.6,19.085897575884
2,0.5,1.5,0,9,8,5,5.7,19.4577284005174
2,0.5,1.5,0,9,8,5,5.8,19.8246186702935
2,0.5,1.5,0,9,8,5,5.9,20.1858223256844
2,0.5,1.5,0,9,8,5,6,20.5406386495641
2,0.5,1.5,0,9,8,5,6.1,20.8882646678737
2,0.5,1.5,0,9,8,5,6.2,21.2278225801045
2,0.5,1.5,0,9,8,5,6.3,21.5585173302462
2,0.5,1.5,0,9,8,5,6.4,21.8796146035226
2,0.5,1.5,0,9,8,5,6.5,22.1903068412766
2,0.5,1.5,0,9,8,5,6.6,22.4900155122778
2,0.5,1.5,0,9,8,5,6.7,22.7779951869089
2,0.5,1.5,0,9,8,5,6.8,23.0537038639187
2,0.5,1.5,0,9,8,5,6.9,23.3168811798197
2,0.5,1.5,0,9,8,5,7,23.5672746010865
2,0.5,1.5,0,9,8,5,7.1,23.8047475228168
2,0.5,1.5,0,9,8,5,7.2,24.0287831547214
